# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.554860636056e-01       2.942289094140e+01 
       7.588615677722e-01       2.911765972373e+01 
       7.622370719913e-01       2.881735513126e+01 
       7.656125762623e-01       2.852129743654e+01 
       7.689880805844e-01       2.822940005731e+01 
       7.723635849571e-01       2.794167347229e+01 
       7.757390893796e-01       2.765759905821e+01 
       7.791145938514e-01       2.737439995098e+01 
       7.824900983717e-01       2.710229245634e+01 
       7.858656029399e-01       2.683096280275e+01 
       7.892411075555e-01       2.656424325789e+01 
       8.615830572499e-01       2.164561654641e+01 
       9.657897800320e-01       1.658675782010e+01 
       1.130862537253e+00       1.147347464483e+01 
